GeneNames	Score
ENSG00000146648	0.0024908757071683456
ENSG00000141510	0.002370796673805415
ENSG00000177885	0.0017973655090351337
ENSG00000136997	0.0016659174201731064
ENSG00000100393	0.001605057884099963
ENSG00000116478	0.0015382743766863575
ENSG00000168036	0.0015134125608197658
ENSG00000188612	0.0015130707661738336
ENSG00000115414	0.0014661474820007719
ENSG00000145675	0.0014598030220540786
ENSG00000163631	0.001339807370174393
ENSG00000100603	0.0012637391584699987
ENSG00000091831	0.0012238731334876744
ENSG00000148400	0.001115408451438095
ENSG00000166913	0.0011090738345261714
ENSG00000096401	0.0010959958813858265
ENSG00000142208	0.0010371433171687773
ENSG00000080824	0.0010207756689464326
ENSG00000197122	0.0009303181877964774
ENSG00000169083	0.0009298772533658284
ENSG00000004487	0.0009154173691540376
ENSG00000196591	0.000909289986638686
ENSG00000012048	0.0009083762850382419
ENSG00000129521	0.0008946866719854554
ENSG00000036257	0.0008840728339721954
ENSG00000181163	0.0008839182226500439
ENSG00000123374	0.0008708857286101391
ENSG00000160691	0.0008584174913693917
ENSG00000132155	0.0008567816235246267
ENSG00000173039	0.000856436682623256
ENSG00000100345	0.0008473607218012631
ENSG00000162692	0.0008455466289295148
ENSG00000005339	0.0008440557076003474
ENSG00000166949	0.0008194227869090529
ENSG00000135679	0.0007985300759341784
ENSG00000124181	0.0007747359854805831
ENSG00000100030	0.0007672012162479107
ENSG00000177606	0.000765285879194289
ENSG00000164924	0.0007629034795009218
ENSG00000147403	0.0007535239056247431
ENSG00000141736	0.0007447761267560923
ENSG00000153187	0.0007246156601175197
ENSG00000141480	0.0007227190677357156
ENSG00000096384	0.0007104818988128868
ENSG00000121879	0.0007060246434789137
ENSG00000094916	0.0006989970533481436
ENSG00000183421	0.0006892313078926576
ENSG00000213639	0.0006869033422912377
ENSG00000102882	0.000673472536382195
ENSG00000116030	0.0006629654271556485
ENSG00000106462	0.0006611686941599904
ENSG00000137486	0.00066070052504947
ENSG00000139687	0.0006585150182835447
ENSG00000169398	0.0006253753807212032
ENSG00000105647	0.0006253518607877538
ENSG00000149311	0.000614276731486057
ENSG00000141367	0.0006096018960492566
ENSG00000147601	0.000606368164783008
ENSG00000185920	0.000602807830104414
ENSG00000172531	0.000598211040745501
ENSG00000188486	0.0005937399863418934
ENSG00000141027	0.0005897935485025753
ENSG00000175387	0.0005857770451478895
ENSG00000140009	0.0005843322793069412
ENSG00000184634	0.0005711609418699575
ENSG00000170027	0.000567942436884721
ENSG00000105568	0.0005650440006847961
ENSG00000103275	0.0005642871137848536
ENSG00000183337	0.0005612076328956557
ENSG00000068024	0.0005609551575037482
ENSG00000185591	0.0005556701533917901
ENSG00000276536	0.0005544457549905716
ENSG00000179295	0.0005539999699318808
ENSG00000168610	0.0005522080644204265
ENSG00000010810	0.0005513123543059465
ENSG00000113721	0.000549945783385196
ENSG00000196535	0.0005477546582650663
ENSG00000110395	0.0005467641202862153
ENSG00000134982	0.0005450479899321913
ENSG00000169032	0.0005418646597625985
ENSG00000182944	0.0005396554529596332
ENSG00000269335	0.0005370601428018739
ENSG00000157764	0.0005360618163361878
ENSG00000105976	0.0005351952478815671
ENSG00000128513	0.0005348362367934686
ENSG00000186298	0.0005347022787514042
ENSG00000082701	0.0005312331427257303
ENSG00000113558	0.0005308540879268884
ENSG00000130726	0.0005286102222470622
ENSG00000140575	0.0005283733338989748
ENSG00000166135	0.0005283208012449173
ENSG00000127191	0.0005236798907373555
ENSG00000140464	0.0005195462065679666
ENSG00000131467	0.0005182243278858521
ENSG00000115415	0.0005171009643439837
ENSG00000115966	0.0005145893005754919
ENSG00000131759	0.0005090331402121204
ENSG00000145715	0.000505260280576575
ENSG00000253729	0.0005039556178168847
ENSG00000066117	0.0005036256704445434
ENSG00000078061	0.0005016699525428958
ENSG00000141568	0.0005004083822950971
ENSG00000112559	0.0004962622449939957
ENSG00000100644	0.0004947752621097313
ENSG00000134086	0.000492955435589416
ENSG00000112062	0.0004903629154702437
ENSG00000115904	0.0004877071396684433
ENSG00000101945	0.000486406017356364
ENSG00000127616	0.00048635756449570585
ENSG00000168214	0.00048635205929985865
ENSG00000286522	0.00048626157621285395
ENSG00000178568	0.0004843128296543711
ENSG00000096717	0.0004817149210711992
ENSG00000077782	0.00048148994134648767
ENSG00000169047	0.00048020760265396847
ENSG00000163513	0.0004768768011989335
ENSG00000136238	0.0004764346460949587
ENSG00000196367	0.00047342602703590064
ENSG00000128052	0.0004716384244241027
ENSG00000065361	0.0004709084131204637
ENSG00000116977	0.0004692499986728501
ENSG00000167862	0.0004671858159319867
ENSG00000197299	0.00046514995805783065
ENSG00000066468	0.0004645365297450441
ENSG00000170345	0.0004640084756520372
ENSG00000166167	0.0004637689218509911
ENSG00000126561	0.00046362964645860357
ENSG00000157404	0.0004636107831424489
ENSG00000109320	0.00046232061091116037
ENSG00000171862	0.0004618858543059548
ENSG00000118260	0.00046041465129848484
ENSG00000179222	0.0004554372825957323
ENSG00000092820	0.00045478329793100484
ENSG00000067560	0.00045163318763541947
