u	v	score
ENSG00000000003	ENSG00000101856	0.7360442386548067
ENSG00000000003	ENSG00000171155	0.7006533302132681
ENSG00000000419	ENSG00000101019	0.702798801108694
ENSG00000000419	ENSG00000101132	0.8215332653704183
ENSG00000000419	ENSG00000101138	0.7132379375060913
ENSG00000000419	ENSG00000101146	0.7992642483079372
ENSG00000000419	ENSG00000101166	0.8258186239457196
ENSG00000000419	ENSG00000101367	0.8027096612859491
ENSG00000000419	ENSG00000101413	0.7154056705613523
ENSG00000000419	ENSG00000115946	0.7017077689890132
ENSG00000000419	ENSG00000124164	0.7167478433711135
ENSG00000000419	ENSG00000124207	0.7971249444558222
ENSG00000000419	ENSG00000124214	0.7554264994808464
ENSG00000000419	ENSG00000124226	0.7721066337300171
ENSG00000000419	ENSG00000125977	0.8267003761012643
ENSG00000000419	ENSG00000149636	0.7982574826735485
ENSG00000000419	ENSG00000166913	0.761480801585891
ENSG00000000419	ENSG00000172315	0.7958593757074689
ENSG00000000460	ENSG00000120334	0.7458039304400271
ENSG00000000460	ENSG00000138346	0.7015361400895787
ENSG00000000460	ENSG00000172244	0.729901181097034
ENSG00000000938	ENSG00000010295	0.7143592440966468
ENSG00000000938	ENSG00000010610	0.7322596977817123
ENSG00000000938	ENSG00000010671	0.7225856607851985
ENSG00000000938	ENSG00000011600	0.7201812482798708
ENSG00000000938	ENSG00000015285	0.7313761414633926
ENSG00000000938	ENSG00000066336	0.844062052829978
ENSG00000000938	ENSG00000072694	0.7027995340830252
ENSG00000000938	ENSG00000077420	0.7498367481981487
ENSG00000000938	ENSG00000085265	0.727325554902963
ENSG00000000938	ENSG00000085514	0.8733932599194153
ENSG00000000938	ENSG00000100055	0.8514888491492788
ENSG00000000938	ENSG00000100368	0.7817304505926918
ENSG00000000938	ENSG00000101336	0.8973607492337119
ENSG00000000938	ENSG00000105383	0.772551388226797
ENSG00000000938	ENSG00000108950	0.7076707118241606
ENSG00000000938	ENSG00000110324	0.7703915315012985
ENSG00000000938	ENSG00000114013	0.7153515255876207
ENSG00000000938	ENSG00000116701	0.7827656124370277
ENSG00000000938	ENSG00000119535	0.7653792746678599
ENSG00000000938	ENSG00000121807	0.7040189384523825
ENSG00000000938	ENSG00000122862	0.7293649893459642
ENSG00000000938	ENSG00000123329	0.7053020787814943
ENSG00000000938	ENSG00000123338	0.7056214672042779
ENSG00000000938	ENSG00000126882	0.7087458177549826
ENSG00000000938	ENSG00000129450	0.8577472334166585
ENSG00000000938	ENSG00000130775	0.7930083441113189
ENSG00000000938	ENSG00000131042	0.8438901088976092
ENSG00000000938	ENSG00000132965	0.8133615364775095
ENSG00000000938	ENSG00000133246	0.762998121497964
ENSG00000000938	ENSG00000135047	0.7389299166247953
ENSG00000000938	ENSG00000135077	0.7343131158277156
ENSG00000000938	ENSG00000135604	0.7666593970308141
ENSG00000000938	ENSG00000136167	0.7263842977537484
ENSG00000000938	ENSG00000139572	0.8035857583205093
ENSG00000000938	ENSG00000140678	0.8080513941390289
ENSG00000000938	ENSG00000141506	0.8347069700271453
ENSG00000000938	ENSG00000142347	0.8446469069329846
ENSG00000000938	ENSG00000143119	0.8598633391051504
ENSG00000000938	ENSG00000146094	0.7842257033687724
ENSG00000000938	ENSG00000147443	0.7266790939429622
ENSG00000000938	ENSG00000150337	0.7275565925270759
ENSG00000000938	ENSG00000155659	0.7968309255959745
ENSG00000000938	ENSG00000155926	0.7347493652609223
ENSG00000000938	ENSG00000158517	0.7525969119950345
ENSG00000000938	ENSG00000158869	0.7408617517280649
ENSG00000000938	ENSG00000160255	0.7933831860833379
ENSG00000000938	ENSG00000160883	0.7973939410180969
ENSG00000000938	ENSG00000162511	0.8329946577857266
ENSG00000000938	ENSG00000163154	0.7382889766597976
ENSG00000000938	ENSG00000163219	0.7196099618663622
ENSG00000000938	ENSG00000163563	0.7331831575559554
