u	v	score
ENSG00000000419	ENSG00000116752	0.7040470113655135
ENSG00000000460	ENSG00000104626	0.7112972689898943
ENSG00000000460	ENSG00000136754	0.7354834395582842
ENSG00000000460	ENSG00000144554	0.7161572673720574
ENSG00000000938	ENSG00000010671	0.7261756339275254
ENSG00000000938	ENSG00000011600	0.7368459135191532
ENSG00000000938	ENSG00000066294	0.7824495875066888
ENSG00000000938	ENSG00000066336	0.7900100549125388
ENSG00000000938	ENSG00000069424	0.7902904692755695
ENSG00000000938	ENSG00000072694	0.7664756998495428
ENSG00000000938	ENSG00000085514	0.7710373722528286
ENSG00000000938	ENSG00000091106	0.7652224034371153
ENSG00000000938	ENSG00000100365	0.7177233381977903
ENSG00000000938	ENSG00000101336	0.7728623532368922
ENSG00000000938	ENSG00000101916	0.7395545280530205
ENSG00000000938	ENSG00000102575	0.7286306244114286
ENSG00000000938	ENSG00000105383	0.8099451831846157
ENSG00000000938	ENSG00000105967	0.7775634036751724
ENSG00000000938	ENSG00000110031	0.7241257090102959
ENSG00000000938	ENSG00000110324	0.731236721414043
ENSG00000000938	ENSG00000110876	0.7346482050526195
ENSG00000000938	ENSG00000110934	0.7390115613483645
ENSG00000000938	ENSG00000114013	0.7883982383464696
ENSG00000000938	ENSG00000115919	0.8310151296231069
ENSG00000000938	ENSG00000115956	0.7898583610454122
ENSG00000000938	ENSG00000116701	0.824290306578893
ENSG00000000938	ENSG00000121797	0.7488149457333413
ENSG00000000938	ENSG00000123338	0.7527100205955863
ENSG00000000938	ENSG00000126860	0.7151396479754901
ENSG00000000938	ENSG00000129450	0.8223079517939756
ENSG00000000938	ENSG00000134516	0.7222095646594013
ENSG00000000938	ENSG00000135077	0.8260918889005081
ENSG00000000938	ENSG00000137752	0.718029213347211
ENSG00000000938	ENSG00000137841	0.7934069323869841
ENSG00000000938	ENSG00000138964	0.769778840912485
ENSG00000000938	ENSG00000140379	0.8427017099983997
ENSG00000000938	ENSG00000140678	0.8553652978553219
ENSG00000000938	ENSG00000141480	0.8029360101527814
ENSG00000000938	ENSG00000141506	0.8094966637857379
ENSG00000000938	ENSG00000142347	0.7762956377169423
ENSG00000000938	ENSG00000143119	0.763301773507229
ENSG00000000938	ENSG00000147443	0.734592099892981
ENSG00000000938	ENSG00000149781	0.7479573136734159
ENSG00000000938	ENSG00000151490	0.7678850450335859
ENSG00000000938	ENSG00000160255	0.8025426777927064
ENSG00000000938	ENSG00000160883	0.776677022268329
ENSG00000000938	ENSG00000162511	0.7608110061513632
ENSG00000000938	ENSG00000163823	0.7635344542215878
ENSG00000000938	ENSG00000167208	0.7074776784629803
ENSG00000000938	ENSG00000167261	0.8092588638895463
ENSG00000000938	ENSG00000167613	0.7865698447428217
ENSG00000000938	ENSG00000168961	0.7222269641174641
ENSG00000000938	ENSG00000169896	0.8168875758473336
ENSG00000000938	ENSG00000172243	0.7505143054468703
ENSG00000000938	ENSG00000175489	0.7540092730292456
ENSG00000000938	ENSG00000177575	0.712362567410968
ENSG00000000938	ENSG00000180353	0.7083269671729238
ENSG00000000938	ENSG00000184922	0.725023433569056
ENSG00000000938	ENSG00000186074	0.7380611602373767
ENSG00000000938	ENSG00000186818	0.7938703200587696
ENSG00000000938	ENSG00000196743	0.7023352412921027
ENSG00000000938	ENSG00000197471	0.7790579934567393
ENSG00000000938	ENSG00000198223	0.7488850588117245
ENSG00000000971	ENSG00000106546	0.707401381502435
