u	v	score
ENSG00000000460	ENSG00000080839	0.7197546300696033
ENSG00000000460	ENSG00000120334	0.72033987359058
ENSG00000000460	ENSG00000123473	0.7060440042315318
ENSG00000000460	ENSG00000156876	0.7244677275240604
ENSG00000000460	ENSG00000172167	0.7087405146482642
ENSG00000000460	ENSG00000181544	0.7123718836459091
ENSG00000000460	ENSG00000197275	0.7026755398420126
ENSG00000000938	ENSG00000007264	0.7074695314800212
ENSG00000000938	ENSG00000012779	0.7004799715424302
ENSG00000000938	ENSG00000015285	0.7062587838412644
ENSG00000000938	ENSG00000019169	0.7073341945528596
ENSG00000000938	ENSG00000066336	0.8253916250508628
ENSG00000000938	ENSG00000069424	0.7936044830780583
ENSG00000000938	ENSG00000085514	0.7855750049754929
ENSG00000000938	ENSG00000102575	0.7684237275988614
ENSG00000000938	ENSG00000105383	0.7319138839784279
ENSG00000000938	ENSG00000110031	0.7048681817010017
ENSG00000000938	ENSG00000110876	0.7241726363772394
ENSG00000000938	ENSG00000129450	0.7679394009586533
ENSG00000000938	ENSG00000133246	0.8094640274999567
ENSG00000000938	ENSG00000135604	0.7204738793346261
ENSG00000000938	ENSG00000138964	0.7373685418551766
ENSG00000000938	ENSG00000140678	0.9004241341093737
ENSG00000000938	ENSG00000141506	0.8063246567327454
ENSG00000000938	ENSG00000142347	0.824472326465622
ENSG00000000938	ENSG00000146094	0.7262593980627852
ENSG00000000938	ENSG00000147443	0.7860212051492773
ENSG00000000938	ENSG00000147614	0.7610930840371067
ENSG00000000938	ENSG00000149781	0.7905178841976245
ENSG00000000938	ENSG00000160255	0.7183615333442953
ENSG00000000938	ENSG00000160883	0.7875715983078775
ENSG00000000938	ENSG00000161911	0.7017772658091616
ENSG00000000938	ENSG00000162511	0.7265720094923666
ENSG00000000938	ENSG00000164935	0.7278243790893753
ENSG00000000938	ENSG00000167261	0.8478563545865512
ENSG00000000938	ENSG00000167613	0.7520178742537079
ENSG00000000938	ENSG00000167850	0.7508684179935681
ENSG00000000938	ENSG00000168995	0.7694119660819032
ENSG00000000938	ENSG00000171611	0.7921394477642351
ENSG00000000938	ENSG00000175489	0.7198770515651592
ENSG00000000938	ENSG00000185482	0.7369202057338806
ENSG00000000938	ENSG00000198053	0.7348684786563391
ENSG00000000938	ENSG00000235568	0.7860501759591545
ENSG00000000938	ENSG00000241839	0.73088494481901
ENSG00000001629	ENSG00000001631	0.7925353257569347
ENSG00000001629	ENSG00000004766	0.7574687530750989
ENSG00000001629	ENSG00000105793	0.7174458139102267
ENSG00000001629	ENSG00000105983	0.7133119495300619
ENSG00000001629	ENSG00000127980	0.7874075094543593
ENSG00000001629	ENSG00000127989	0.7334824048687099
ENSG00000001629	ENSG00000164597	0.7050502947499696
ENSG00000001629	ENSG00000234545	0.7003293944496496
ENSG00000001631	ENSG00000004766	0.8514546761386668
ENSG00000001631	ENSG00000051825	0.7082003069129542
ENSG00000001631	ENSG00000055609	0.727728239983128
ENSG00000001631	ENSG00000092978	0.7016580778871463
ENSG00000001631	ENSG00000100697	0.7106959847039637
ENSG00000001631	ENSG00000105793	0.7478746724394737
ENSG00000001631	ENSG00000116747	0.7295016891616488
ENSG00000001631	ENSG00000119684	0.7137550067644461
ENSG00000001631	ENSG00000127914	0.7929294561868149
ENSG00000001631	ENSG00000127980	0.8385167870632696
ENSG00000001631	ENSG00000127989	0.8087838739158449
ENSG00000001631	ENSG00000127993	0.7297589184756861
ENSG00000001631	ENSG00000128585	0.7170961593858425
ENSG00000001631	ENSG00000135164	0.7623141519105593
ENSG00000001631	ENSG00000146802	0.7454935404972634
ENSG00000001631	ENSG00000149311	0.7030022095428338
ENSG00000001631	ENSG00000155657	0.7251286715160155
ENSG00000001631	ENSG00000157259	0.7929421371465477
ENSG00000001631	ENSG00000157764	0.7165740178802491
ENSG00000001631	ENSG00000158528	0.7138406816448158
ENSG00000001631	ENSG00000162775	0.7018240278493469
ENSG00000001631	ENSG00000183808	0.7356804268789082
ENSG00000001631	ENSG00000185842	0.7334812217717013
ENSG00000001631	ENSG00000197343	0.7322220181288106
ENSG00000001631	ENSG00000234545	0.8421086008758523
ENSG00000001631	ENSG00000255423	0.7229198701622109
ENSG00000002549	ENSG00000115415	0.7226092806109664
ENSG00000002549	ENSG00000117228	0.7277392717760979
ENSG00000002834	ENSG00000131748	0.7151203015685565
ENSG00000003393	ENSG00000115020	0.7006712602154883
ENSG00000003393	ENSG00000115942	0.7402523989398437
ENSG00000003393	ENSG00000138443	0.7110658972320274
ENSG00000003402	ENSG00000065413	0.7239719272551645
ENSG00000003756	ENSG00000004534	0.8196119463757271
ENSG00000003756	ENSG00000007392	0.7132004946271687
ENSG00000003756	ENSG00000010322	0.7233427563419895
ENSG00000003756	ENSG00000013441	0.760677020926697
ENSG00000003756	ENSG00000100201	0.7346580835683677
ENSG00000003756	ENSG00000108848	0.7257462244005243
ENSG00000003756	ENSG00000109920	0.7656242863117207
ENSG00000003756	ENSG00000113971	0.7691938092400539
ENSG00000003756	ENSG00000114857	0.7484699502759133
ENSG00000003756	ENSG00000119707	0.736717201721265
ENSG00000003756	ENSG00000126214	0.7098255561258169
ENSG00000003756	ENSG00000131051	0.7148619403128134
ENSG00000003756	ENSG00000132424	0.7690899467249737
ENSG00000003756	ENSG00000160961	0.717087975662234
ENSG00000003756	ENSG00000163728	0.7027922463643348
ENSG00000003756	ENSG00000169045	0.7583018856404288
ENSG00000003756	ENSG00000175309	0.7128296488796415
ENSG00000003756	ENSG00000177463	0.7474786148197151
ENSG00000003756	ENSG00000184863	0.734111077751597
ENSG00000003756	ENSG00000214021	0.7836295154774768
ENSG00000004059	ENSG00000005075	0.7169597968129301
ENSG00000004059	ENSG00000106400	0.7301012498017571
ENSG00000004059	ENSG00000128524	0.7901019270289552
ENSG00000004142	ENSG00000132591	0.8165170687993649
ENSG00000004478	ENSG00000111641	0.7065494552125969
ENSG00000004487	ENSG00000007923	0.731631768212075
ENSG00000004487	ENSG00000179051	0.7482471335371258
ENSG00000004534	ENSG00000007392	0.7215578869881858
ENSG00000004534	ENSG00000108848	0.7412360384428798
ENSG00000004534	ENSG00000109920	0.7535293634023662
ENSG00000004534	ENSG00000198563	0.7447200184693178
ENSG00000004534	ENSG00000214021	0.7536683453711488
ENSG00000004766	ENSG00000105793	0.766886145237369
ENSG00000004766	ENSG00000105810	0.7351086968286377
ENSG00000004766	ENSG00000127980	0.7568126583105923
ENSG00000004766	ENSG00000127989	0.8154676811263897
ENSG00000004766	ENSG00000127993	0.7848027041360867
ENSG00000004766	ENSG00000234545	0.7759023407842334
ENSG00000004777	ENSG00000075702	0.7199854728233137
ENSG00000004777	ENSG00000249115	0.8374702828634535
ENSG00000004838	ENSG00000007174	0.9337323042307974
ENSG00000004838	ENSG00000010626	0.9005628528915398
ENSG00000004838	ENSG00000039537	0.7643470494363296
