GeneNames	Score
ENSG00000146648	0.0054619162836356564
ENSG00000168036	0.0040557199964242315
ENSG00000136997	0.0033415694356117294
ENSG00000177885	0.0033010752381656193
ENSG00000142208	0.0030068502408797894
ENSG00000145675	0.0025366363535957834
ENSG00000141510	0.002479552283925175
ENSG00000132155	0.00242332149138495
ENSG00000115414	0.0023647695653650084
ENSG00000188612	0.0020879161146938386
ENSG00000100030	0.0020513887123187295
ENSG00000163631	0.001957096389453581
ENSG00000100393	0.001892757825795248
ENSG00000141736	0.0018413505290968705
ENSG00000197122	0.0018136999559457193
ENSG00000080824	0.001746852918659817
ENSG00000091831	0.0016473812567411041
ENSG00000160691	0.0015951170678745509
ENSG00000181163	0.0015882234460719799
ENSG00000005339	0.0015816500118312118
ENSG00000112062	0.0014572842047064377
ENSG00000166913	0.0014546198088969669
ENSG00000102882	0.0014232231343295656
ENSG00000100603	0.001413762402599651
ENSG00000169032	0.001412197315871113
ENSG00000096401	0.0013970955361022304
ENSG00000118137	0.0013401455605667938
ENSG00000115904	0.0013153020144315742
ENSG00000181449	0.0012963240782798368
ENSG00000121879	0.0012792389355874001
ENSG00000157764	0.0012790501478814895
ENSG00000160867	0.0012358566768755647
ENSG00000116478	0.0012262306663010593
ENSG00000175793	0.0012221495949721387
ENSG00000141480	0.001214709364379111
ENSG00000162692	0.0011983009878079839
ENSG00000124181	0.00118537349720969
ENSG00000123374	0.0011821536061017237
ENSG00000147403	0.0011598421792482808
ENSG00000096384	0.0011511309352904193
ENSG00000106211	0.0011503690062361692
ENSG00000276536	0.0011501428391985757
ENSG00000068078	0.00111149604685997
ENSG00000012048	0.0011023095696719135
ENSG00000173039	0.00108290534801641
ENSG00000164924	0.0010785438444333403
ENSG00000135679	0.0010779569473924786
ENSG00000143977	0.0010647861259585405
ENSG00000160789	0.0010542030159775343
ENSG00000149925	0.001048607663844282
ENSG00000101361	0.0010440893245784381
ENSG00000105647	0.0010424170521601374
ENSG00000116030	0.0010367433774291035
ENSG00000010810	0.001026461846208395
ENSG00000135486	0.00102536085689291
ENSG00000182979	0.0010230516406705258
ENSG00000091513	0.0010186640225917972
ENSG00000115966	0.0010170151369927913
ENSG00000188486	0.0010063703364822667
ENSG00000169398	0.0010000355401168287
ENSG00000127191	0.0009751922168845318
ENSG00000105976	0.0009731495199169544
ENSG00000168610	0.0009685471631519893
ENSG00000177606	0.000967826596652353
ENSG00000162344	0.0009673357799542655
ENSG00000269335	0.000966647222198109
ENSG00000153187	0.0009561683732692198
ENSG00000149311	0.0009553505757596592
ENSG00000139687	0.0009546970481097973
ENSG00000078061	0.0009500740643010396
ENSG00000126934	0.0009445208661901528
ENSG00000073282	0.0009262170320132365
ENSG00000167862	0.0009239307353787898
ENSG00000166949	0.0009173555795820391
ENSG00000077782	0.0009132058914263992
ENSG00000082701	0.0009105709171875522
ENSG00000133703	0.000898825950257568
ENSG00000146223	0.0008981449720610027
ENSG00000132646	0.000890726745713343
ENSG00000066468	0.0008897869322320491
ENSG00000137486	0.0008874337154169608
ENSG00000141738	0.0008729882210394455
ENSG00000128052	0.0008718286641449793
ENSG00000113578	0.0008703421451733963
ENSG00000110395	0.0008693406402446157
ENSG00000103275	0.0008666709526460858
ENSG00000213341	0.0008551437195922797
ENSG00000179295	0.0008310987487625354
ENSG00000147601	0.0008255407443755667
ENSG00000275565	0.0008252997560744549
ENSG00000111640	0.0008178847778044589
ENSG00000140575	0.0008133446087697879
ENSG00000150753	0.0008070703947201261
ENSG00000183421	0.0008053068832954317
ENSG00000196591	0.0007839695391530352
ENSG00000044524	0.000780373897372702
ENSG00000175104	0.0007771926687631989
ENSG00000111669	0.0007747624046118436
ENSG00000134982	0.0007736808528549443
ENSG00000105401	0.0007720420905181727
ENSG00000079246	0.0007654290565286084
ENSG00000104365	0.0007622138978772311
ENSG00000140009	0.0007599394558818854
ENSG00000117461	0.0007598005178279744
ENSG00000096968	0.0007593651036832658
ENSG00000171105	0.0007561280860768833
ENSG00000109458	0.0007554885966394631
ENSG00000167193	0.0007526462978483647
ENSG00000135446	0.0007505362428253695
ENSG00000161203	0.0007419731052498196
ENSG00000280548	0.0007414750027414171
ENSG00000076242	0.0007407887936251859
ENSG00000113721	0.0007364748804288102
ENSG00000129521	0.0007280363928942289
ENSG00000169083	0.0007237619350395681
ENSG00000069956	0.0007205598286182616
ENSG00000113558	0.0007181553467030605
ENSG00000253729	0.0007098589451763484
ENSG00000186298	0.0007080982780321619
ENSG00000107643	0.0007071963134071522
ENSG00000175166	0.0007067288170703837
ENSG00000065361	0.0007058825271376594
ENSG00000173226	0.0007050919485135255
ENSG00000198755	0.000702993303264067
ENSG00000097007	0.0007009272601871754
ENSG00000124762	0.0006975505516456811
ENSG00000100345	0.0006919630185520716
ENSG00000213281	0.000686474813472823
ENSG00000141367	0.0006830425934832621
ENSG00000115053	0.0006749409347167182
ENSG00000145715	0.000674838011534303
ENSG00000140992	0.0006684070073551028
ENSG00000184216	0.0006659193194870561
ENSG00000186340	0.0006654978603376196
ENSG00000105568	0.0006614694021153941
ENSG00000182944	0.0006603687490769558
ENSG00000172531	0.0006592945107866025
